id,rate,votes,cuisine
17520,3.3,225,North Indian
794,3.1,104,North Indian
2447,3.4,16,North Indian
6755,3.5,27,North Indian
37390,3.1,41,North Indian
798,3.8,120,North Indian
26489,3.1,22,North Indian
2449,3.2,56,North Indian
27983,3.2,9,North Indian
9190,3.3,5,North Indian
39388,,0,South Indian
1318,3.6,81,Andhra
3739,3.2,23,Andhra
6968,3.6,21,North Indian
4048,3.6,48,Andhra
27967,,0,Biryani
1792,3.1,4,North Indian
18374,4.0,108,Andhra
24998,4.0,469,Andhra
524,3.2,4,Andhra
20278,3.1,13,Andhra
2117,3.6,24,Andhra
43382,3.7,19,Andhra
2215,3.3,46,Andhra
797,,0,Andhra
7560,3.0,55,Andhra
19787,3.8,241,Andhra
1679,4.0,187,Andhra
1972,3.9,45,Andhra
4307,3.9,158,Andhra
46265,,0,South Indian
22,3.4,8,South Indian
14516,3.2,128,Andhra
27922,3.3,6,Biryani
18933,2.8,17,Andhra
4379,3.2,5,Andhra
39912,3.1,72,Andhra
41851,,0,Andhra
3661,4.2,1430,Andhra
14738,4.0,43,Andhra
43751,3.4,5,Andhra
19720,3.7,106,Andhra
250,3.3,5,South Indian
2067,4.1,666,Andhra
40506,,0,Andhra
5728,,0,North Indian
46139,3.4,9,Andhra
18080,3.2,4,Andhra
6489,3.5,11,Andhra
2014,3.2,22,Andhra
24451,,0,North Indian
20694,3.2,6,Biryani
17512,,0,Andhra
41759,3.9,317,Andhra
51337,,0,South Indian
9181,3.3,4,South Indian
42749,3.3,6,South Indian
4119,3.7,52,Andhra
20719,3.3,11,Andhra
45961,3.1,12,Cafe
40192,3.7,92,Biryani
21957,3.9,121,Arabian
43013,3.5,17,South Indian
17304,3.5,22,South Indian
2854,2.8,165,Kerala
41184,3.5,10,Kerala
4851,3.7,29,Burger
3591,3.3,5,Biryani
21716,,0,Andhra
180,4.1,739,Chinese
42658,3.9,96,Chettinad
16045,3.1,97,Chettinad
8957,2.9,304,Chettinad
7527,3.9,1155,Chettinad
15450,3.8,768,Chettinad
16545,3.4,5,Fast Food
19011,4.1,150,Fast Food
4029,3.4,6,Cafe
16745,,0,Street Food
1559,,0,Mithai
3759,3.8,62,South Indian
625,4.0,771,South Indian
3392,4.0,265,Continental
5404,,0,Continental
5172,3.5,28,Andhra
20358,,0,South Indian
7083,,0,South Indian
449,,0,South Indian
13651,3.9,434,South Indian
36613,3.9,82,Chinese
41553,3.5,73,South Indian
1921,3.3,5,Mughlai
19016,3.9,50,Bengali
26362,,0,South Indian
46689,,0,North Indian
4380,3.5,11,North Indian
49002,,0,South Indian
190,,0,South Indian
41560,3.9,461,Chinese
42489,4.4,730,Continental
1806,3.7,20,Desserts
23152,3.7,118,Chinese
4976,4.1,841,Seafood
4540,4.2,854,Seafood
540,4.1,179,Seafood
20907,,0,North Indian
4990,,0,North Indian
38658,,0,North Indian
19840,3.5,26,North Indian
10629,,0,North Indian
1681,3.6,474,North Indian
4482,3.1,35,North Indian
24311,,0,South Indian
21033,3.9,236,North Indian
6471,3.8,18,Kerala
7562,3.2,4,Kerala
4897,3.5,11,North Indian
4219,3.6,16,North Indian
42783,3.3,14,Beverages
5410,,0,North Indian
16076,4.6,206,Ice Cream
7229,4.0,65,Ice Cream
41835,4.0,25,Ice Cream
27790,4.1,145,Ice Cream
1502,4.1,59,Ice Cream
8791,4.5,194,Ice Cream
547,4.0,67,Ice Cream
16033,4.2,251,Ice Cream
4867,4.1,83,Ice Cream
19333,3.2,4,Ice Cream
19005,4.0,90,Ice Cream
4740,3.0,9,North Indian
41728,3.6,89,North Indian
23000,3.9,358,North Indian
16271,4.0,196,North Indian
7986,,0,Arabian
146,3.4,24,North Indian
42756,,0,Arabian
41343,,0,Arabian
4675,3.7,19,Biryani
4545,3.4,43,Fast Food
7680,,0,Mughlai
36440,,0,Arabian
3174,3.7,30,Arabian
5449,,0,Tea
8914,3.5,10,Juices
42384,3.3,4,Chinese
3824,3.9,191,Biryani
619,,0,South Indian
18538,3.7,0,Biryani
795,3.5,57,Biryani
3189,3.1,28,Biryani
11270,4.0,334,Biryani
5526,2.9,90,North Indian
41660,3.0,75,South Indian
40425,,0,Chinese
13570,4.5,8375,American
5260,3.7,31,Bakery
22147,,0,North Indian
18229,4.1,177,Sushi
5395,,0,Chinese
5411,3.3,5,Fast Food
22984,4.0,237,Korean
5738,3.5,12,Fast Food
12064,,0,North Indian
12666,3.4,9,South Indian
39951,3.8,72,Beverages
7699,,0,Rolls
8243,4.0,127,North Indian
4943,3.9,49,Fast Food
22595,3.7,83,Andhra
24249,4.2,533,Mughlai
12086,3.7,46,South Indian
6338,3.6,22,North Indian
39018,3.5,7,Cafe
25349,3.4,9,Biryani
7057,4.3,449,Ice Cream
12198,4.4,1896,Ice Cream
43782,,0,Fast Food
2793,,0,Desserts
43001,4.2,44,Desserts
17800,4.0,58,Desserts
4760,,0,Ice Cream
4141,,0,Ice Cream
15212,,0,Desserts
22230,3.8,92,Cafe
5119,,0,Lucknowi
1595,3.4,7,Ice Cream
22389,3.1,6,Ice Cream
16097,3.4,6,Ice Cream
40271,3.7,26,South Indian
13463,3.2,6,Mithai
4632,3.2,9,Mithai
698,,0,Mithai
2198,4.3,277,North Indian
13460,,0,Bakery
2085,,0,South Indian
40095,3.1,97,North Indian
7592,,0,Arabian
9222,,0,Arabian
19421,,0,Arabian
224,,0,Arabian
40473,,0,Arabian
4936,3.8,174,Pizza
1128,3.5,41,Pizza
3821,4.0,69,Chettinad
4538,3.4,11,Mangalorean
4433,4.4,864,Asian
